day_time,count,distance,calorie,speed,recommendation
1650006000000,197,146.33000135421753,7.299999952316284,4.248024821281433,6000
1650009600000,76,58.43000030517578,2.5299999713897705,5.246099472045898,6000
1650013200000,0,0.0,0.0,0,6000
1650016800000,0,0.0,0.0,0,6000
1650020400000,0,0.0,0.0,0,6000
1650024000000,0,0.0,0.0,0,6000
1650027600000,1882,1508.5999283790588,57.73999547958374,5.951103528340657,6000
1650031200000,0,0.0,0.0,0,6000
1650034800000,0,0.0,0.0,0,6000
1650038400000,0,0.0,0.0,0,6000
1650042000000,2106,1682.0299649238586,65.05000028014183,5.509667873382568,6000
1650045600000,61,45.329999923706055,2.25,4.474819898605347,6000
1650049200000,142,106.3799991607666,5.190000027418137,4.426833152770996,6000
1650052800000,246,191.1299991607666,8.259999811649323,5.42950439453125,6000
1650056400000,4008,3072.0199925899506,134.06999969482422,5.121842956542968,6000
1650060000000,12,9.119999885559082,0.41999998688697815,5.099999904632568,6000
1650063600000,0,0.0,0.0,0,6000
1650067200000,22,16.09000015258789,0.8299999833106995,4.299999713897705,6000
1650416400000,0,0.0,0.0,0,6000
1650420000000,0,0.0,0.0,0,6000
1650423600000,0,0.0,0.0,0,6000
1650427200000,0,0.0,0.0,0,6000
1650430800000,0,0.0,0.0,0,6000
1650434400000,0,0.0,0.0,0,6000
1650438000000,155,116.60000038146973,5.600000113248825,4.364245533943176,6000
1650441600000,112,85.20999908447266,3.9200000762939453,5.051614761352539,6000
1650445200000,0,0.0,0.0,0,6000
1650448800000,0,0.0,0.0,0,6000
1650452400000,0,0.0,0.0,0,6000
1650456000000,47,35.74000358581543,1.5999997407197952,5.234127998352051,6000
1650459600000,1947,1575.1300020217896,60.55000030994415,6.0659111340840655,6000
1650463200000,39,30.020000457763672,1.309999942779541,5.299999713897705,6000
1650466800000,0,0.0,0.0,0,6000
1650470400000,0,0.0,0.0,0,6000
1650474000000,2748,2153.729983329773,88.15999990701675,5.570402526855469,6000
1650477600000,136,101.33999919891357,4.9999998807907104,4.535435199737549,6000
1650481200000,46,33.40999984741211,1.719999998807907,3.750000238418579,6000
1650484800000,10,7.289999961853027,0.3700000047683716,4.199999809265137,6000
1650488400000,4696,3622.9499917030334,146.72999846935272,5.3948060989379885,6000
1650492000000,27,19.710000038146973,1.020000010728836,4.099999904632568,6000
1650495600000,10,7.239999771118164,0.3700000047683716,3.999999761581421,6000
1650499200000,57,41.86000061035156,2.159999966621399,4.164543151855469,6000
1650330000000,0,0.0,0.0,0,6000
1650333600000,0,0.0,0.0,0,6000
1650337200000,0,0.0,0.0,0,6000
1650340800000,0,0.0,0.0,0,6000
1650344400000,0,0.0,0.0,0,6000
1650348000000,0,0.0,0.0,0,6000
1650351600000,104,78.42000150680542,3.7199999690055847,4.092586874961853,6000
1650355200000,82,62.40999984741211,2.8299999833106995,5.131319522857666,6000
1650358800000,0,0.0,0.0,0,6000
1650362400000,0,0.0,0.0,0,6000
1650366000000,0,0.0,0.0,0,6000
1650369600000,31,23.59000015258789,1.0099999904632568,5.199999809265137,6000
1650373200000,1763,1426.8100051879883,53.609999656677246,6.172896226247151,6000
1650376800000,0,0.0,0.0,0,6000
1650380400000,0,0.0,0.0,0,6000
1650384000000,0,0.0,0.0,0,6000
1650387600000,1997,1576.119987487793,61.950000524520874,5.304105818271637,6000
1650391200000,416,311.85999393463135,15.240000188350677,4.502585589885712,6000
1650394800000,0,0.0,0.0,0,6000
